TID;Target;Stance;Sentiment;Intent
633656960563417;Galatasaray;Favor;Positive;Good-Wishes
633657887320068;Galatasaray;Favor;Positive;Good-Wishes
633659304592166;Galatasaray;Favor;Positive;Support
633660220959498;Galatasaray;Favor;Negative;Ridicule
633660438954274;Galatasaray;Favor;Positive;Cheer
633661552017735;Galatasaray;Favor;Positive;Support
633661607852253;Galatasaray;Favor;Positive;Support
633664327036366;Galatasaray;Favor;Positive;Support
633665657511518;Galatasaray;Favor;Negative;Good-Wishes
633665712536592;Galatasaray;Favor;Positive;Good-Wishes
633665970729558;Galatasaray;Favor;Positive;Support
633667013915885;Galatasaray;Favor;Positive;Support
633670184373460;Galatasaray;Favor;Neither;Support
633670372630597;Galatasaray;Favor;Positive;Support
633670823195373;Galatasaray;Favor;Neither;Cheer
633670940438720;Galatasaray;Favor;Positive;Support
633670952216363;Galatasaray;Favor;Positive;Support
633670964216233;Galatasaray;Favor;Positive;Support
633671094499717;Galatasaray;Favor;Positive;Cheer
633671253187031;Galatasaray;Favor;Positive;Support
633671324527906;Galatasaray;Favor;Positive;Support
633672166270177;Galatasaray;Favor;Positive;Support
633672423204868;Galatasaray;Favor;Positive;Cheer
633673263852425;Galatasaray;Favor;Positive;Support
633673442605334;Galatasaray;Favor;Positive;Support
633675876761255;Galatasaray;Favor;Negative;Support
633677086268497;Galatasaray;Favor;Positive;Support
633677440515219;Galatasaray;Favor;Neither;Cheer
633680079541944;Galatasaray;Favor;Positive;Cheer
633680113155055;Galatasaray;Favor;Positive;Support
633683068608491;Galatasaray;Favor;Positive;Support
633684327709167;Galatasaray;Favor;Positive;Support
633684689807667;Galatasaray;Favor;Neither;Support
633686096602337;Galatasaray;Favor;Positive;Support
633686154924195;Galatasaray;Favor;Positive;Support
633686181876776;Galatasaray;Favor;Positive;Support
633686315784138;Galatasaray;Favor;Positive;Support
633687095085789;Galatasaray;Favor;Positive;Support
633687417950748;Galatasaray;Favor;Neither;Support
633688360880578;Galatasaray;Favor;Positive;Good-Wishes
633688716985434;Galatasaray;Favor;Positive;Support
633689430700765;Galatasaray;Favor;Positive;Support
633690068637642;Galatasaray;Favor;Positive;Good-Wishes
633690713688047;Galatasaray;Favor;Positive;Support
633693267830394;Galatasaray;Favor;Positive;Support
633693288130834;Galatasaray;Favor;Positive;Support
633693315611934;Galatasaray;Favor;Positive;Support
633693602405830;Galatasaray;Favor;Negative;Cheer
633694082708148;Galatasaray;Favor;Positive;Support
633696803850948;Galatasaray;Favor;Positive;Cheer
633698186847195;Galatasaray;Favor;Positive;Support
633699362330279;Galatasaray;Favor;Positive;Good-Wishes
633701857924390;Galatasaray;Favor;Neither;Good-Wishes
633702344040034;Galatasaray;Favor;Positive;Support
633702456871026;Galatasaray;Favor;Positive;Support
633702911978172;Galatasaray;Favor;Positive;Support
633703103280324;Galatasaray;Favor;Positive;Support
633703484139929;Galatasaray;Favor;Positive;Cheer
633704291266641;Galatasaray;Favor;Negative;Support
633704633110765;Galatasaray;Favor;Negative;Support
633705797684432;Galatasaray;Favor;Positive;Support
633706239600513;Galatasaray;Favor;Positive;Good-Wishes
633706870121857;Galatasaray;Favor;Positive;Support
633707203837489;Galatasaray;Favor;Positive;Cheer
633707431818870;Galatasaray;Favor;Positive;Support
633708014214737;Galatasaray;Favor;Positive;Support
633708669839015;Galatasaray;Favor;Negative;Cheer
633709050904080;Galatasaray;Favor;Positive;Support
633989457004335;Galatasaray;Favor;Positive;Support
633990177275420;Galatasaray;Favor;Positive;Support
634003986115371;Galatasaray;Favor;Positive;Support
634008541251153;Galatasaray;Favor;Positive;Support
634010435721805;Galatasaray;Favor;Positive;Support
634018739646808;Galatasaray;Favor;Positive;Support
634027030204563;Galatasaray;Favor;Neither;Cheer
634033369219747;Galatasaray;Favor;Positive;Cheer
634033409942257;Galatasaray;Favor;Positive;Support
634033478733008;Galatasaray;Favor;Positive;Support
634034462859395;Galatasaray;Favor;Neither;Insult
634040502262870;Galatasaray;Favor;Positive;Cheer
634347293228011;Galatasaray;Favor;Positive;Support
634349305776762;Galatasaray;Favor;Positive;Support
634350798827335;Galatasaray;Favor;Positive;Cheer
634354619775324;Galatasaray;Favor;Positive;Support
634367792213565;Galatasaray;Favor;Positive;Support
634369894507786;Galatasaray;Favor;Neither;Support
